utterance,intent
"i wanna check the cancellation fee, what should do?",check_policy
can u ask an agent for information about the fees?,check_policy
"id like see cancellation penalties, what should i do?",check_policy
where can I check the cancellation,check_policy
like to view the cancellation penalty,check_policy
"I want to see cancellation fees, do have to do?",check_policy
how I check the cancellation penalty?,check_policy
me the cancellation penalties,check_policy
how do I see cancellation fee?,check_policy
can u ask an agent where to see the penalty?,check_policy
"please, could u ask an agent where see the fucking cancellation penalties?",check_policy
"I want to the fee, can you help me?",check_policy
"i want to the cancellation penalty, what should do?",check_policy
where do i view the cancellation ?,check_policy
"i want to see penaltgies, can u help me?",check_policy
can you show me cancellation penalty?,check_policy
ask an agent how to view the penalty,check_policy
"I want to check cancellation fee, what can I do?",check_policy
can you show the cancellation fee?,check_policy
"I want information about the cancellation fee,",check_policy
were to see cancellation fees,check_policy
I want information about cancellation penalty,check_policy
u ask an agent how to view the cancellation fee?,check_policy
canyou find information about the fee?,check_policy
I want to the cancellation fee,check_policy
could you ask an about the cancellation fee?,check_policy
"i wanna view the cancellation fee, what do i have do?",check_policy
"ask an agent to find information about fucking cancellation fees, please",check_policy
what the cancellation penalties?,check_policy
I need help seeing the penalty,check_policy
how to check the penalties,check_policy
can i check the cancellation penalty?,check_policy
"want to view cancellation fees, what doI have to do?",check_policy
"I to view cancellation fees , what can I do?",check_policy
"I want to view the cancellation penalty, what can do?",check_policy
"i want to check cancellation penalties, should i do?",check_policy
I help viewing the cancellation penalty,check_policy
"I to check cancellation penalties, what should I do?",check_policy
I want see the cancellation penalty,check_policy
I to view the cancellation penalties,check_policy
where do I view the cancellation,check_policy
"want to check the penalty, what do i have to do?",check_policy
I want to check the fee,check_policy
"want to check the cancellation fee, what do i to d?",check_policy
ask agent where i colud check the cancellation penalty,check_policy
can u ask an agent show me information about the cancellation penalty?,check_policy
"I want see the cancellation penalty, what can I do?",check_policy
how i check the cancellation fee ?,check_policy
can give me information about the cancelation penaltes?,check_policy
can u ask an to show me cancellation penalties?,check_policy
how can I check cancellation penalties?,check_policy
"I want to see cancellation penalties, what do I have do?",check_policy
could I view the cancellation penalty?,check_policy
"I want to check cancellation penalty, what should I",check_policy
"I want to check penalties, what can I do?",check_policy
information about the cancellation,check_policy
"i want to see cancellation fees, what can do?",check_policy
can you give me information about tthe fees?,check_policy
where can I view the cancellation,check_policy
can I view the cancellation penalty?,check_policy
how could i view cancellation fees?,check_policy
"ask an agent where to view the fucking cancellation fee,",check_policy
hceck cancellation fee,check_policy
"want to see the cancellation penalty, what do I have to",check_policy
"want to view cancellation penalty, can u help me?",check_policy
can u ask an agent if i view the cancellation penalty?,check_policy
how to the cancellation fees,check_policy
"I want to see the cancellation fee, should I do?",check_policy
ask an agent i can check the cancellation penalties,check_policy
how see the cancellation fee,check_policy
"please, could u ask an agent where i can check cancellation fee?",check_policy
want to view the cancellation fees,check_policy
how do I the cancellation fees?,check_policy
can ask an agent if i can see the penalties?,check_policy
can you show the cancellation penalties?,check_policy
help me see the cancellation,check_policy
"please, could ask an agent how to view the cancellation fee?",check_policy
I want to view acncellation penalty,check_policy
can you me information about the cancellation penalty?,check_policy
"I to check the cancellation fee, what should do?",check_policy
show me the cancellation,check_policy
ask an agent about cancellation penalty,check_policy
i wanna view the cancellation,check_policy
how I view the cancellation fees?,check_policy
i want to check the fee,check_policy
ask an agent if I could the fuckig cancdllation fee,check_policy
how can I view cancellation fee?,check_policy
"I want to see fees, what should I do?",check_policy
"I want view cancellation penalties, what can I do?",check_policy
how can check the cancellation fee?,check_policy
I need information about the penalties,check_policy
"I want to cancellation penalties, what should I do?",check_policy
ask agent where to see the cancellation fees,check_policy
ask an agent if i can the cancellation penalties,check_policy
help me the cancellation fee,check_policy
ask an agent how i can the cancellation penalty,check_policy
I view the cancellation penalty?,check_policy
could you ask agent how I could the cancellation fees?,check_policy
what's the fee?,check_policy
"ask an agent I could see the fucking cancellation penalty, please",check_policy
can you hsow me the cancellation,check_policy
to see the cancellation penalty,check_policy
can i the cancellation fee?,check_policy
can u ask an agent if i can the cancellation penalties?,check_policy
I want to check the cancellation what can I do?,check_policy
can you ask an agent where I view the fucking cancellation,check_policy
want to see the cancellation penalties,check_policy
where do I see the caqncellation,check_policy
can I view cancellation fee?,check_policy
"I want to check cancellation penalties, do I have to",check_policy
can you find about the cancellation penalties ?,check_policy
where to the cancellation penalties,check_policy
I need information about the cancellation,check_policy
how I view the cancellation penalty?,check_policy
I need help seeing the penalties,check_policy
"please, ask an agent to find information about the penalty",check_policy
"want to check camcellation fees, what should I do?",check_policy
I need help checking the cancellation,check_policy
"please, ask an agent to see the fucking cancellation penalties",check_policy
I want to vew the ancellation what can I do?,check_policy
"could you me about the cancellation penalties, please?",check_policy
can i check the cancellation ?,check_policy
I want aboutthe cancellation fee,check_policy
you give me information about the cancellation penalties ?,check_policy
can I view the cancellation,check_policy
where view the cancellation penalties,check_policy
how I see the cancellation fees?,check_policy
what the cancellation fees?,check_policy
can I view the cancellation,check_policy
information about cancellation penalty,check_policy
where can I the cancellation fees?,check_policy
"i wanna the cancellation penalty, what should i do?",check_policy
how can i view the fee?,check_policy
"could you show me information the cancellation penalty, please?",check_policy
Ineed viewing the canclelation penalties,check_policy
how I view the cancellation penalties?,check_policy
ask an agent i can view the cancellation penalties,check_policy
do I view the cancellation penalties?,check_policy
"can you ask an agent how to view cancellation penalty, please",check_policy
"ask an where can see the cancellation fees, please",check_policy
how I see the cancellation fee?,check_policy
can you give me information the cancellation fee?,check_policy
can u ask an where i can see the cancellation fee?,check_policy
can I check the fee?,check_policy
can you me about the cancellation fee?,check_policy
can you the cancellation penalty?,check_policy
"please, could ask an agent to me information about the cancellation penalties?",check_policy
"please, ask an agent if could see the fucking cancellation fees",check_policy
"I want to check cancellation fees, can you me?",check_policy
ask an agent how iu view the cancellation fee,check_policy
can u ask an agent to show me cancellation fees,check_policy
help me the cancellation fees,check_policy
how to see cancellation penalties,check_policy
"i wanna see cancellation penalty, what can i do?",check_policy
"i wanna view penalties, can u help me?",check_policy
I information about the cancellation fee,check_policy
"can you ask an agent how I can check the fucking penalties, please?",check_policy
how can I the cancellation fees?,check_policy
I want to check the penalties,check_policy
can u ask an agent how i can check cancellation penalty?,check_policy
could you ask an how to view the fucking cancellation penalties?,check_policy
"I want to check cancellation fees , what do I have do?",check_policy
I information about the cancellation fees,check_policy
you check the cancellation fee?,check_policy
what's the cancellation,check_policy
can you give me about the cancellation penalty?,check_policy
how do check the cancellation fee?,check_policy
where can I see the cancellation,check_policy
I neeed help the cancellation fees,check_policy
ask an agent if i can the cancellation fee,check_policy
show me the cancellation,check_policy
ask an agent i can checvk the cancellation penalty,check_policy
"I want to view the cancellation penalty, what I have to",check_policy
"please, you ask an to check the cancellation penalty?",check_policy
"I'd like to check cancellation fee, what can I do?",check_policy
where to check tthe fee,check_policy
where do I see the cancellation,check_policy
"can you ask an agent how I can view cancellation fees, please?",check_policy
I ned help checking cancellation penalties,check_policy
I want information about cancellation penalties,check_policy
where do I check the fees?,check_policy
can u an agent for information about the cancellation penalties?,check_policy
how to view the penalties,check_policy
"can u ask an agent where could see the cancellation fees, please?",check_policy
"i wanna check the cancellation fee, what can i",check_policy
how do i the cancellation fees?,check_policy
"can u ask an agent if i can see cancellation fees, please?",check_policy
I want to check the penalty,check_policy
"i want to check cancellation penalty, u help me?",check_policy
i wanna see cancellation what should i do?,check_policy
where can I the cancellation fee?,check_policy
"i want to check cancellation fee, what can i do?",check_policy
"want to see cancellation fees, what can I do?",check_policy
can u ask an how to see the cancellation penalties?,check_policy
"I to view cancerllation fees, what should I do?",check_policy
"want to see the acncellation penalty, should i do?",check_policy
an agent where to check the cancellation penalty,check_policy
where to view the penalty,check_policy
where check the cancellation penalty,check_policy
"I want to see the cancellation penalty, what should do?",check_policy
could I talk a human?,contact_human_agent
"you're not helping, how do I contact human?",contact_human_agent
"I understand you, can I do to talk to a human?",contact_human_agent
"u are not helping, can u speak with a agent?",contact_human_agent
can u contact human?,contact_human_agent
"you arent helping, what do i have to do speak with someone?",contact_human_agent
"you aren't helping, help contact a human",contact_human_agent
"arent helping, what should i do to contact a human?",contact_human_agent
"not helping, contact someone",contact_human_agent
I don't understand and I want to speak with a human,contact_human_agent
you are not helping and I would to speak with a human agent,contact_human_agent
"i dont understand you, can u talk a human?",contact_human_agent
u are helping and i want to contact a human,contact_human_agent
"I can't understand you, how can I contact person ?",contact_human_agent
"I don't understand you, how do I a person?",contact_human_agent
"I understand you, can you contact fucking someone?",contact_human_agent
"youre not helping, how i contact a human agent?",contact_human_agent
"I can't understand you, can you talk to a",contact_human_agent
you're not can I contact someone?,contact_human_agent
"you arent helping, can i do to talk to a human?",contact_human_agent
"you're not helping, help me talk to human",contact_human_agent
you're not helping and I want to a human agent,contact_human_agent
need help speaking with a human agent,contact_human_agent
"I don't understand you, what should I do to contact a person",contact_human_agent
"you arent helping, what do i have to do to speak a human agent?",contact_human_agent
"i dont understand you, me talk to fucking someone, please",contact_human_agent
"you aren't helping, what I do to contact a human agent?",contact_human_agent
"I can't understand you, how I speak with a human?",contact_human_agent
"you aren't helping, how do I to someone?",contact_human_agent
"you aren't helping, how I talk to someone?",contact_human_agent
u contcat someone?,contact_human_agent
how do i contact human?,contact_human_agent
"u are not helping, how i talk to someone?",contact_human_agent
can speak with a human agent?,contact_human_agent
me contact a person,contact_human_agent
"you aren't helping, what I have to do to speak with a human agent ?",contact_human_agent
can u to a human?,contact_human_agent
"you helping, can you speak with a human?",contact_human_agent
you aren't help me speak with a person,contact_human_agent
"I don't understand you, what I do to speak with a human ?",contact_human_agent
can I speak with a agent?,contact_human_agent
"you aren't helping, what can I do to with a human?",contact_human_agent
"I can't understand you, what should do to talk to someone?",contact_human_agent
"you're not helping, I talk to a human?",contact_human_agent
you're not and I want to speak with a human,contact_human_agent
"I can't you, can you speak a human agent?",contact_human_agent
"I don't understand you, what do I have to contact someone?",contact_human_agent
"I don't understand you, what can I do talk a human agent?",contact_human_agent
"you're not helping, how can contact someone?",contact_human_agent
"i dont understanbd you, how i to a person?",contact_human_agent
"u not helping, i need help talking to a human agent",contact_human_agent
"youre not helping, me speak with a person",contact_human_agent
"I can't understand you and I would like to talk to someone,",contact_human_agent
"I understand you, help me contact a person",contact_human_agent
"you aren't helping, what should I to speak with someone?",contact_human_agent
"you aren't helping, how I speak with someone?",contact_human_agent
"you aren't helping, what can I do to speak with a human",contact_human_agent
"u are not helping, can i talk a human agent?",contact_human_agent
"you aren't helping, what should to talk to a human agent?",contact_human_agent
"I don't understand you, help speak with a human",contact_human_agent
i cant understand help me contact a human,contact_human_agent
"I don't understand you, what should do to speak with someone?",contact_human_agent
"I don't understand you, I need contacting someone",contact_human_agent
"I don't understand you, how do I contact a agent?",contact_human_agent
I to talk to someone,contact_human_agent
"you aren't helping, how can I talk to human?",contact_human_agent
you're not speak with a human agent,contact_human_agent
"can't understand you, can I speak with a human",contact_human_agent
you're not I need help talking to a person,contact_human_agent
I need help contacting human agent,contact_human_agent
"youre not helping, how do speak with someoone?",contact_human_agent
"I understand you, can you speak with a human?",contact_human_agent
I do understand you and I'd like to contact person,contact_human_agent
"you aren't helping, I need help contacting human agent",contact_human_agent
I cannot understand you I'd like to talk to a person,contact_human_agent
"you helping, can u speak with a human?",contact_human_agent
"i cant understand you, how i speak with an fucking person?",contact_human_agent
"you aren't helping, how can I contact person?",contact_human_agent
"please, contact",contact_human_agent
"don't understand you , contact someone",contact_human_agent
how can I talk to a,contact_human_agent
"you're not helping ane I want talk a human, please",contact_human_agent
youre not helping and i to contact a human agent,contact_human_agent
"you aren't helping, do I contact fucking someone?",contact_human_agent
"I understand you, what can I do to talk to someone?",contact_human_agent
"I understand you, should I do to contact a human agent?",contact_human_agent
"I can't understand you, I need speaking with human agent",contact_human_agent
"you aren't helping, help me to a person",contact_human_agent
you helping and i want to speak with someone,contact_human_agent
"youre helping, what should i do to talk to human?",contact_human_agent
"you aren't helping, what do I have to talk to a human?",contact_human_agent
"I can't understand you, what do I have to to speak a person?",contact_human_agent
"understand you, do I have to do to speak with a human agent?",contact_human_agent
you aren't and I want to contact a person,contact_human_agent
"u are not helping, what i do to talk to a human?",contact_human_agent
i need help to a person,contact_human_agent
i dont understand you and wanna speak with a human,contact_human_agent
can I a human?,contact_human_agent
you aren't what can do to speak with someone?,contact_human_agent
"I don't understand you, can you talk to a",contact_human_agent
"I can't understand you, can you contact person?",contact_human_agent
"I can't you , help me talk to a human",contact_human_agent
"I can't understand you, can I speak someone?",contact_human_agent
"you arent helping, could i contact someone,",contact_human_agent
i to speak with a person,contact_human_agent
"I don't understand you, help me contact a agent",contact_human_agent
I want to talk a human agent,contact_human_agent
to speak with someone,contact_human_agent
"you aren't helping, how do speak with a fucking human agent?",contact_human_agent
"I can't understand you, I need speaking with someone",contact_human_agent
"I cannot understtand you and I want to talk someone,",contact_human_agent
youre not helping and i to talk to a humn agent,contact_human_agent
"aren't helping, talk to a person",contact_human_agent
youre not how do i contact a person?,contact_human_agent
"youre not helping, can i talk to human?",contact_human_agent
speak with human,contact_human_agent
"not helping , how do I contact a person?",contact_human_agent
can i talk to a human?,contact_human_agent
"you aren't helping, I need help with someone",contact_human_agent
I want know if there is someone available,contact_human_agent
help me speak with human agent,contact_human_agent
"you aren't helping, what I have to do to talk to a agent?",contact_human_agent
"you aren't helping , how can I with a hman",contact_human_agent
I can't understand I need help talking to a human agent,contact_human_agent
"you arne't helping, what do I have to do to contact",contact_human_agent
"I don't understand you, help me talk to a",contact_human_agent
"you arent helping, what can i to contact someone?",contact_human_agent
"I can't understand you, I need help to someone",contact_human_agent
"you aren't helping, what I do to speak with a person?",contact_human_agent
"you helping, can I speak with somneone?",contact_human_agent
"I can't you, can I do to speak with a person?",contact_human_agent
"I don't understand you, can I do to contact a",contact_human_agent
"i cant understand you, i need help to a human",contact_human_agent
how I speak with a human agent?,contact_human_agent
can I a person?,contact_human_agent
I don't understand what do I have to do to with someone?,contact_human_agent
"I don't understand you , with a human agent",contact_human_agent
"I don't you, could I speak with fucking sopmeone?",contact_human_agent
I can't understand you and I to speak with a human agent,contact_human_agent
"don't understand you, what do I have to do to contact a person?",contact_human_agent
"you're not and I want to contact a human, please",contact_human_agent
"you arent helping, contact",contact_human_agent
"you aren't helping, do I have to do talk to a person?",contact_human_agent
I help talking to a human,contact_human_agent
"I don't understand you, talk to",contact_human_agent
"I don't understand you, me speak with someone",contact_human_agent
u are and i want to speak with a human,contact_human_agent
youre not helping and i wanna to a human agent,contact_human_agent
"can't understand you, help me contact a human agent",contact_human_agent
"can't understand you, contact a human agent",contact_human_agent
"youre not helping, what should i do to contact a",contact_human_agent
"i cant understand and i wanna speak with a fucking human agent, please",contact_human_agent
how do I talk to person?,contact_human_agent
"i cant understand you, how could i with a human?",contact_human_agent
is any person available?,contact_human_agent
I understand you and I want to contact someone,contact_human_agent
can you a human?,contact_human_agent
you're not what do I have to do to talk to human agent?,contact_human_agent
"I can't understand you, what should I to contact someone?",contact_human_agent
"I understand you, how do I talk to a person?",contact_human_agent
"I can't understand , talk to a person",contact_human_agent
"u are helping, what can do to talk to a person?",contact_human_agent
can I talk to human?,contact_human_agent
"i dont understand you, what should i speak with a person?",contact_human_agent
you aren't helping and I want to speak with a agent,contact_human_agent
"i dont understand you, can i do to talk a human?",contact_human_agent
"you're not helping, how do I contact a agent?",contact_human_agent
"you arent helping, what i do to talk to a person?",contact_human_agent
i want pseak with a human gaent,contact_human_agent
"you aren't helping, what have to do to contact a human agent?",contact_human_agent
"you arent helping, contact please",contact_human_agent
"i dont understand you, u galk to a person?",contact_human_agent
"youre helping and like to talk to a fucking human agent, lease",contact_human_agent
"not helping, what do i to do to contact a person?",contact_human_agent
"I can't you, how can I contact someone?",contact_human_agent
"you're not helping, how do I talk someone?",contact_human_agent
"I can't understand you, what should I do talk to a human",contact_human_agent
"i cant nuderstand you, i nered help with human agent",contact_human_agent
can you talk to a human,contact_human_agent
can you tell me there issomeone available?,contact_human_agent
help me talk to a,contact_human_agent
"you're not helping, what I do to contact a person?",contact_human_agent
i want to someone,contact_human_agent
"I don't understand you, can contact someone?",contact_human_agent
"you're not helping, I do to talk to a person?",contact_human_agent
"you're not helping, do I have to do to speak with a human",contact_human_agent
"you're not helping, can to a person?",contact_human_agent
"don'tunderstand you, can I contact a person ?",contact_human_agent
"you're not helping, I need help speaking with a",contact_human_agent
"aren't helping, can you speak with a person?",contact_human_agent
can u speak with human?,contact_human_agent
"I cannot understand you speak with a human, please?",contact_human_agent
"I don't you, how can I talk to a human agent?",contact_human_agent
"you're not helping, help me speak a person",contact_human_agent
"I can't you, can I speak with a human?",contact_human_agent
"I understand you, need help contacting a human agent",contact_human_agent
"you arent helping, can u talk to human?",contact_human_agent
"not helping, what do i to do to talk to a human?",contact_human_agent
I don't understand you and I want to talk someone,contact_human_agent
"you aren't helping, I do to contact a person?",contact_human_agent
"i dont understand you, how do i to a human agent?",contact_human_agent
"I don't understand you, how do speak with a human?",contact_human_agent
"not helping, speak with someone",contact_human_agent
"I understand you, what should I do talk to a human?",contact_human_agent
I speak with a person?,contact_human_agent
"i dont understand you, speak a person",contact_human_agent
can you a human agent?,contact_human_agent
I can't what do I have to do to contact a human agent?,contact_human_agent
"you're not helping, me talk to a human agent",contact_human_agent
help me to someone,contact_human_agent
"u are not helping, help contact someone",contact_human_agent
i wanna speak someone,contact_human_agent
you arre't,contact_human_agent
"I can't you, how do I speak with a human?",contact_human_agent
"you aren't helping, can I speak with a",contact_human_agent
"you're not helping, what can I do contact someone?",contact_human_agent
"I can't you , I need help speaking with a human",contact_human_agent
you're not can you talk to a person?,contact_human_agent
"i dont you, can ui speak with a person?",contact_human_agent
"I don't you, can you contact a human agent?",contact_human_agent
"don't understand you, how do I speak with a person?",contact_human_agent
"you're helping, can I contact a human, please?",contact_human_agent
"I don't understand you, what can I do to speak with",contact_human_agent
"you helping, i need help talking to a person",contact_human_agent
"i understand you, what do i have to do to speak a human?",contact_human_agent
I do not understand could you contact a person?,contact_human_agent
"Idon't understand you, I contact a human?",contact_human_agent
"you're not helping, help me contact a",contact_human_agent
I help contacting a human,contact_human_agent
"I don't understand you, what can I to contact a person?",contact_human_agent
"I can't understand you, contact",contact_human_agent
"you aren't helping, me speak with someone, please",contact_human_agent
"you arent helping, can i speak with a human agent?",contact_human_agent
could you tell me there is any human available?,contact_human_agent
"you aren't helping, what do I have to do speak with a",contact_human_agent
"you're not helping, I need help speaking a human agent",contact_human_agent
need help speaking wiht a human,contact_human_agent
"can't understand you, what can I do to contact a human ?",contact_human_agent
"youre not helping, can u talk to a",contact_human_agent
I want to talk to person,contact_human_agent
"i dont understand you, talk to a human",contact_human_agent
"i dont understand you, can u speak a human?",contact_human_agent
"you aren't helping, to a human agent",contact_human_agent
"your not helping, do I have to do to speak someone?",contact_human_agent
"you're not helping, can I talk to a agent?",contact_human_agent
"I can't you, what can I do to atlk to a human agent?",contact_human_agent
"I understand you, what do I have to do to speak with human agent?",contact_human_agent
"you're not helping, how can I speak with human agent?",contact_human_agent
"I can't you, I need help speaking with person",contact_human_agent
you aren't helping and I want speak with a human,contact_human_agent
"I can't understand you, talk to a",contact_human_agent
"I can't understand you, I do to speak with a human?",contact_human_agent
how I contact a human?,contact_human_agent
"you aren't helping, how can I a human?",contact_human_agent
"i cant understand you, how do contact a person?",contact_human_agent
"youre helping, what should i do to speak with someone?",contact_human_agent
"i dont understand you, need help speaking with an persson",contact_human_agent
how do I talk a human?,contact_human_agent
"you aren't helping, can talk to a person?",contact_human_agent
"I cannot understand you I like to talk to a human agent, please",contact_human_agent
"you're not helping, could I talk to person?",contact_human_agent
csn you contact human?,contact_human_agent
"I don't understand you, could you talk to person?",contact_human_agent
"you helping, speak with someone",contact_human_agent
"not helping, how can i contact a human?",contact_human_agent
I need helop to a person,contact_human_agent
"i cant understand you, u speak with a human agent?",contact_human_agent
"you aren't helping, could talk to a human agent, please?",contact_human_agent
"you're not helping, to a human",contact_human_agent
"I can't understand you, how do I to someone?",contact_human_agent
"you arent helping, what do i have to do to speak with person?",contact_human_agent
I can't understand help me contact someone,contact_human_agent
you're not helping and want to speak with someone,contact_human_agent
"you're not helping , I help talking to someone",contact_human_agent
"u are not helping, talk to a human,",contact_human_agent
"i cant understand you, can contact a person?",contact_human_agent
how to talk to human,contact_human_agent
"you're not helping, what can I do talk to a human?",contact_human_agent
"you're not helping, I need talking to a human agent",contact_human_agent
"u not helping, how can i talk to a human?",contact_human_agent
"I don't understand you, what I do to speak someone?",contact_human_agent
"you're not helping, a human agent",contact_human_agent
"you aren't helping , can I talk a person?",contact_human_agent
"I don't understand you, can you speak with",contact_human_agent
"u are not helping, how do i contact a",contact_human_agent
"you're not helping, can I speak with a",contact_human_agent
"i dont understand you, could u contact a human",contact_human_agent
"you aren't helping, what can I do to talk to human?",contact_human_agent
"cant understand you, can u talk to a human agent?",contact_human_agent
I don't understand you I want speak with a person,contact_human_agent
"you aren't helping, can speak with a human agent?",contact_human_agent
"I can't you, I need help contacting a person",contact_human_agent
"I don't understand you, can I speak someone?",contact_human_agent
speak with a agent,contact_human_agent
to someone,contact_human_agent
I don't understand what should I do to talk to a,contact_human_agent
"you aren't helping, what can I do to talk someone?",contact_human_agent
"I do not understand you, can I speak with a please?",contact_human_agent
"you're not helping, I need help talking a human",contact_human_agent
"you aren't gelping, what do I to do to speak with someone?",contact_human_agent
"I can't understand you, I contact a human?",contact_human_agent
"i dont understand you, should i do to contact someone?",contact_human_agent
"I cannot understand could I speak with a human, please?",contact_human_agent
you're not helping I want to contact someone,contact_human_agent
"you aren't helping , contact",contact_human_agent
"dont understand you, can i contact a human agent?",contact_human_agent
